"Nombre","Plataforma","Año","Genero","Editorial","Ventas NA","Ventas EU","Ventas JP","Ventas Otros","Ventas Global","CALIFICACIÓN DEL PUBLICO"
"Wii Sports","Wii","2006","Sports","Nintendo","41.49","29.02","3.77","8.46","82.74","Bueno"
"Super Mario Bros.","NES","1985","Platform","Nintendo","29.08","3.58","6.81","0.77","40.24","Excelente"
"Mario Kart Wii","Wii","2008","Racing","Nintendo","15.85","12.88","3.79","3.31","35.82","Excelente"
"Wii Sports Resort","Wii","2009","Sports","Nintendo","15.75","11.01","3.28","2.96","33","Malo"
"Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","Nintendo","11.27","8.89","10.22","1","31.37","Bueno"
"Tetris","GB","1989","Puzzle","Nintendo","23.2","2.26","4.22","0.58","30.26","Excelente"
"New Super Mario Bros.","DS","2006","Platform","Nintendo","11.38","9.23","6.5","2.9","30.01","Excelente"
"Wii Play","Wii","2006","Misc","Nintendo","14.03","9.2","2.93","2.85","29.02","Excelente"
"New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo","14.59","7.06","4.7","2.26","28.62","Excelente"
"Duck Hunt","NES","1984","Shooter","Nintendo","26.93","0.63","0.28","0.47","28.31","Excelente"
"Nintendogs","DS","2005","Simulation","Nintendo","9.07","11","1.93","2.75","24.76","Excelente"
"Mario Kart DS","DS","2005","Racing","Nintendo","9.81","7.57","4.13","1.92","23.42","Excelente"
"Pokemon Gold/Pokemon Silver","GB","1999","Role-Playing","Nintendo","9","6.18","7.2","0.71","23.1","Excelente"
"Wii Fit","Wii","2007","Sports","Nintendo","8.94","8.03","3.6","2.15","22.72","Excelente"
"Wii Fit Plus","Wii","2009","Sports","Nintendo","9.09","8.59","2.53","1.79","22","Excelente"
"Kinect Adventures!","X360","2010","Misc","Microsoft Game Studios","14.97","4.94","0.24","1.67","21.82","Excelente"
"Grand Theft Auto V","PS3","2013","Action","Take-Two Interactive","7.01","9.27","0.97","4.14","21.4","Excelente"
"Grand Theft Auto: San Andreas","PS2","2004","Action","Take-Two Interactive","9.43","0.4","0.41","10.57","20.81","Bueno"
"Super Mario World","SNES","1990","Platform","Nintendo","12.78","3.75","3.54","0.55","20.61","Bueno"
"Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","Nintendo","4.75","9.26","4.16","2.05","20.22","Excelente"
